CTCQS3CKSKHole pair | Strategy
CQH6 | [0.25 0.25 0.25 0.25]
CQH7 | [0.25 0.25 0.25 0.25]
CQH8 | [0.25 0.25 0.25 0.25]
CQH9 | [0.25 0.25 0.25 0.25]
CQHT | [0.25 0.25 0.25 0.25]
CQHJ | [0.25 0.25 0.25 0.25]
CQHQ | [0.25 0.25 0.25 0.25]
CQHK | [0.25 0.25 0.25 0.25]
CQHA | [0.25 0.25 0.25 0.25]
CQS2 | [0.25 0.25 0.25 0.25]
CQS3 | [0.25 0.25 0.25 0.25]
CQS4 | [0.25 0.25 0.25 0.25]
CQS5 | [0.25 0.25 0.25 0.25]
CQS6 | [0.25 0.25 0.25 0.25]
CQS7 | [0.25 0.25 0.25 0.25]
CQS8 | [0.25 0.25 0.25 0.25]
CQS9 | [0.25 0.25 0.25 0.25]
CQST | [0.25 0.25 0.25 0.25]
CQSJ | [0.25 0.25 0.25 0.25]
CQSQ | [0.25 0.25 0.25 0.25]
CQSK | [0.25 0.25 0.25 0.25]
CQSA | [0.25 0.25 0.25 0.25]
CKCA | [0.25 0.25 0.25 0.25]
CKD2 | [0.25 0.25 0.25 0.25]
CKD3 | [0.25 0.25 0.25 0.25]
CKD4 | [0.25 0.25 0.25 0.25]
CKD5 | [0.25 0.25 0.25 0.25]
CKD6 | [0.25 0.25 0.25 0.25]
CKD7 | [0.25 0.25 0.25 0.25]
CKD8 | [0.25 0.25 0.25 0.25]
CKD9 | [0.25 0.25 0.25 0.25]
CKDT | [0.25 0.25 0.25 0.25]
CKDJ | [0.25 0.25 0.25 0.25]
CKDQ | [0.25 0.25 0.25 0.25]
CKDK | [0.25 0.25 0.25 0.25]
CKDA | [0.25 0.25 0.25 0.25]
CKH2 | [0.25 0.25 0.25 0.25]
CKH3 | [0.25 0.25 0.25 0.25]
CKH4 | [0.25 0.25 0.25 0.25]
CKH5 | [0.25 0.25 0.25 0.25]
CKH6 | [0.25 0.25 0.25 0.25]
CKH7 | [0.25 0.25 0.25 0.25]
CKH8 | [0.25 0.25 0.25 0.25]
CKH9 | [0.25 0.25 0.25 0.25]
CKHT | [0.25 0.25 0.25 0.25]
CKHJ | [0.25 0.25 0.25 0.25]
CKHQ | [0.25 0.25 0.25 0.25]
CKHK | [0.25 0.25 0.25 0.25]
CKHA | [0.25 0.25 0.25 0.25]
CKS2 | [0.25 0.25 0.25 0.25]
CKS3 | [0.25 0.25 0.25 0.25]
CKS4 | [0.25 0.25 0.25 0.25]
CKS5 | [0.25 0.25 0.25 0.25]
CKS6 | [0.25 0.25 0.25 0.25]
CKS7 | [0.25 0.25 0.25 0.25]
CKS8 | [0.25 0.25 0.25 0.25]
CKS9 | [0.25 0.25 0.25 0.25]
CKST | [0.25 0.25 0.25 0.25]
CKSJ | [0.25 0.25 0.25 0.25]
CKSQ | [0.25 0.25 0.25 0.25]
CKSK | [0.25 0.25 0.25 0.25]
CKSA | [0.25 0.25 0.25 0.25]
CAD2 | [0.15155372 0.28263701 0.32912314 0.23668612]
CAD3 | [0.08688098 0.36005148 0.32414735 0.22892019]
CAD4 | [0.15169423 0.28271249 0.32884622 0.23674706]
CAD5 | [0.15171177 0.28268331 0.3288496  0.23675533]
CAD6 | [0.15226499 0.282557   0.32842317 0.23675483]
CAD7 | [0.15224248 0.28225035 0.32871853 0.23678864]
CAD8 | [0.12057031 0.42461939 0.2477305  0.2070798 ]
CAD9 | [0.16501576 0.25109052 0.3459662  0.23792751]
CADT | [0.04728599 0.21557727 0.06267201 0.67446472]
CADJ | [0.         0.45940832 0.2        0.34059168]
CADQ | [0.02433314 0.27331961 0.15305458 0.54929268]
CADK | [0.  0.5 0.1 0.4]
CADA | [0.016855   0.27210519 0.14449823 0.56654158]
CAH2 | [0.15155372 0.28263701 0.32912314 0.23668612]
CAH3 | [0.08688098 0.36005148 0.32414735 0.22892019]
CAH4 | [0.15169423 0.28271249 0.32884622 0.23674706]
CAH5 | [0.15171177 0.28268331 0.3288496  0.23675533]
CAH6 | [0.15226499 0.282557   0.32842317 0.23675483]
CAH7 | [0.15224248 0.28225035 0.32871853 0.23678864]
CAH8 | [0.12057031 0.42461939 0.2477305  0.2070798 ]
CAH9 | [0.16501576 0.25109052 0.3459662  0.23792751]
CAHT | [0.04728599 0.21557727 0.06267201 0.67446472]
CAHJ | [0.         0.45940832 0.2        0.34059168]
CAHQ | [0.02433314 0.27331961 0.15305458 0.54929268]
CAHK | [0.  0.5 0.1 0.4]
CAHA | [0.016855   0.27210519 0.14449823 0.56654158]
CAS2 | [0.15155372 0.28263701 0.32912314 0.23668612]
CAS3 | [0.25 0.25 0.25 0.25]
CAS4 | [0.15169423 0.28271249 0.32884622 0.23674706]
CAS5 | [0.15171177 0.28268331 0.3288496  0.23675533]
CAS6 | [0.15226499 0.282557   0.32842317 0.23675483]
CAS7 | [0.15224248 0.28225035 0.32871853 0.23678864]
CAS8 | [0.12057031 0.42461939 0.2477305  0.2070798 ]
CAS9 | [0.16501576 0.25109052 0.3459662  0.23792751]
CAST | [0.04728599 0.21557727 0.06267201 0.67446472]
CASJ | [0.         0.45940832 0.2        0.34059168]
CASQ | [0.02433314 0.27331961 0.15305458 0.54929268]
CASK | [0.25 0.25 0.25 0.25]
CASA | [0.016855   0.27210519 0.14449823 0.56654158]
D2D3 | [0.25815046 0.2225099  0.29685532 0.22248431]
D2D4 | [0.02147334 0.         0.         0.97852666]
D2D5 | [0.01205465 0.         0.         0.98794535]
D2D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D2D7 | [0.14080246 0.06616077 0.06691961 0.72611715]
D2D8 | [0.19866906 0.09459257 0.11401108 0.59272729]
D2D9 | [0.30285339 0.2458884  0.12973918 0.32151903]
D2DT | [0.02777665 0.29087498 0.02791352 0.65343486]
D2DJ | [0.18745826 0.40540145 0.19617712 0.21096317]
D2DQ | [0.07158114 0.26905163 0.13150212 0.52786511]
D2DK | [0.  0.3 0.1 0.6]
D2DA | [0.15300834 0.28142421 0.32897282 0.23659463]
D2H2 | [0.1261175  0.34014575 0.33585117 0.19788558]
D2H3 | [0.25815046 0.2225099  0.29685532 0.22248431]
D2H4 | [0.02147334 0.         0.         0.97852666]
D2H5 | [0.01205465 0.         0.         0.98794535]
D2H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D2H7 | [0.14080246 0.06616077 0.06691961 0.72611715]
D2H8 | [0.19866906 0.09459257 0.11401108 0.59272729]
D2H9 | [0.30285339 0.2458884  0.12973918 0.32151903]
D2HT | [0.02777665 0.29087498 0.02791352 0.65343486]
D2HJ | [0.18745826 0.40540145 0.19617712 0.21096317]
D2HQ | [0.07158114 0.26905163 0.13150212 0.52786511]
D2HK | [0.  0.3 0.1 0.6]
D2HA | [0.15300834 0.28142421 0.32897282 0.23659463]
D2S2 | [0.1261175  0.34014575 0.33585117 0.19788558]
D2S3 | [0.25 0.25 0.25 0.25]
D2S4 | [0.02147334 0.         0.         0.97852666]
D2S5 | [0.01205465 0.         0.         0.98794535]
D2S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D2S7 | [0.14080246 0.06616077 0.06691961 0.72611715]
D2S8 | [0.19866906 0.09459257 0.11401108 0.59272729]
D2S9 | [0.30285339 0.2458884  0.12973918 0.32151903]
D2ST | [0.02777665 0.29087498 0.02791352 0.65343486]
D2SJ | [0.18745826 0.40540145 0.19617712 0.21096317]
D2SQ | [0.07158114 0.26905163 0.13150212 0.52786511]
D2SK | [0.25 0.25 0.25 0.25]
D2SA | [0.15300834 0.28142421 0.32897282 0.23659463]
D3D4 | [0.2569147  0.22458835 0.29600241 0.22249454]
D3D5 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
D3D6 | [0.25703416 0.22467649 0.29619991 0.22208943]
D3D7 | [0.25766799 0.22533274 0.29564712 0.22135215]
D3D8 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
D3D9 | [0.25756433 0.22165791 0.29904932 0.22172844]
D3DT | [0.03894504 0.29200966 0.24020484 0.42884046]
D3DJ | [0.12448103 0.2972884  0.33589612 0.24233444]
D3DQ | [0.04518847 0.21952355 0.06174075 0.67354724]
D3DK | [0.         0.56516468 0.2        0.23483532]
D3DA | [0.10368635 0.31853478 0.33036183 0.24741704]
D3H2 | [0.25815046 0.2225099  0.29685532 0.22248431]
D3H3 | [0.         0.7        0.05477696 0.24522304]
D3H4 | [0.2569147  0.22458835 0.29600241 0.22249454]
D3H5 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
D3H6 | [0.25703416 0.22467649 0.29619991 0.22208943]
D3H7 | [0.25766799 0.22533274 0.29564712 0.22135215]
D3H8 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
D3H9 | [0.25756433 0.22165791 0.29904932 0.22172844]
D3HT | [0.03894504 0.29200966 0.24020484 0.42884046]
D3HJ | [0.12448103 0.2972884  0.33589612 0.24233444]
D3HQ | [0.04518847 0.21952355 0.06174075 0.67354724]
D3HK | [0.         0.56516468 0.2        0.23483532]
D3HA | [0.10368635 0.31853478 0.33036183 0.24741704]
D3S2 | [0.25815046 0.2225099  0.29685532 0.22248431]
D3S3 | [0.25 0.25 0.25 0.25]
D3S4 | [0.2569147  0.22458835 0.29600241 0.22249454]
D3S5 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
D3S6 | [0.25703416 0.22467649 0.29619991 0.22208943]
D3S7 | [0.25766799 0.22533274 0.29564712 0.22135215]
D3S8 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
D3S9 | [0.25756433 0.22165791 0.29904932 0.22172844]
D3ST | [0.03894504 0.29200966 0.24020484 0.42884046]
D3SJ | [0.12448103 0.2972884  0.33589612 0.24233444]
D3SQ | [0.04518847 0.21952355 0.06174075 0.67354724]
D3SK | [0.25 0.25 0.25 0.25]
D3SA | [0.10368635 0.31853478 0.33036183 0.24741704]
D4D5 | [0.01205465 0.         0.         0.98794535]
D4D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D4D7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
D4D8 | [0.19870467 0.09585314 0.11357923 0.59186297]
D4D9 | [0.30345677 0.24699029 0.12989848 0.31965446]
D4DT | [0.02786553 0.29095564 0.02806554 0.65311329]
D4DJ | [0.18814909 0.40478688 0.19609983 0.21096421]
D4DQ | [0.07243909 0.26501069 0.13125345 0.53129677]
D4DK | [0.  0.3 0.1 0.6]
D4DA | [0.15316167 0.28147515 0.32869937 0.23666381]
D4H2 | [0.02147334 0.         0.         0.97852666]
D4H3 | [0.2569147  0.22458835 0.29600241 0.22249454]
D4H4 | [0.09588363 0.32513095 0.32476316 0.25422226]
D4H5 | [0.01205465 0.         0.         0.98794535]
D4H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D4H7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
D4H8 | [0.19870467 0.09585314 0.11357923 0.59186297]
D4H9 | [0.30345677 0.24699029 0.12989848 0.31965446]
D4HT | [0.02786553 0.29095564 0.02806554 0.65311329]
D4HJ | [0.18814909 0.40478688 0.19609983 0.21096421]
D4HQ | [0.07243909 0.26501069 0.13125345 0.53129677]
D4HK | [0.  0.3 0.1 0.6]
D4HA | [0.15316167 0.28147515 0.32869937 0.23666381]
D4S2 | [0.02147334 0.         0.         0.97852666]
D4S3 | [0.25 0.25 0.25 0.25]
D4S4 | [0.09588363 0.32513095 0.32476316 0.25422226]
D4S5 | [0.01205465 0.         0.         0.98794535]
D4S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D4S7 | [0.14080135 0.06616331 0.06691835 0.726117  ]
D4S8 | [0.19870467 0.09585314 0.11357923 0.59186297]
D4S9 | [0.30345677 0.24699029 0.12989848 0.31965446]
D4ST | [0.02786553 0.29095564 0.02806554 0.65311329]
D4SJ | [0.18814909 0.40478688 0.19609983 0.21096421]
D4SQ | [0.07243909 0.26501069 0.13125345 0.53129677]
D4SK | [0.25 0.25 0.25 0.25]
D4SA | [0.15316167 0.28147515 0.32869937 0.23666381]
D5D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D5D7 | [0.14080147 0.06616303 0.06691848 0.72611702]
D5D8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
D5D9 | [0.30346426 0.24698107 0.12990285 0.31965182]
D5DT | [0.02786603 0.29100502 0.02801749 0.65311146]
D5DJ | [0.18816166 0.40476397 0.19610291 0.21097146]
D5DQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
D5DK | [0.  0.3 0.1 0.6]
D5DA | [0.15317903 0.28144615 0.32870269 0.23667213]
D5H2 | [0.01205465 0.         0.         0.98794535]
D5H3 | [0.25695314 0.22454843 0.29600393 0.2224945 ]
D5H4 | [0.01205465 0.         0.         0.98794535]
D5H5 | [0.08907076 0.33373456 0.32326802 0.25392666]
D5H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D5H7 | [0.14080147 0.06616303 0.06691848 0.72611702]
D5H8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
D5H9 | [0.30346426 0.24698107 0.12990285 0.31965182]
D5HT | [0.02786603 0.29100502 0.02801749 0.65311146]
D5HJ | [0.18816166 0.40476397 0.19610291 0.21097146]
D5HQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
D5HK | [0.  0.3 0.1 0.6]
D5HA | [0.15317903 0.28144615 0.32870269 0.23667213]
D5S2 | [0.01205465 0.         0.         0.98794535]
D5S3 | [0.25 0.25 0.25 0.25]
D5S4 | [0.01205465 0.         0.         0.98794535]
D5S5 | [0.08907076 0.33373456 0.32326802 0.25392666]
D5S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
D5S7 | [0.14080147 0.06616303 0.06691848 0.72611702]
D5S8 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
D5S9 | [0.30346426 0.24698107 0.12990285 0.31965182]
D5ST | [0.02786603 0.29100502 0.02801749 0.65311146]
D5SJ | [0.18816166 0.40476397 0.19610291 0.21097146]
D5SQ | [0.07242123 0.26501    0.13125316 0.5313156 ]
D5SK | [0.25 0.25 0.25 0.25]
D5SA | [0.15317903 0.28144615 0.32870269 0.23667213]
D6D7 | [0.14080173 0.06616244 0.06691878 0.72611705]
D6D8 | [0.19869301 0.09587214 0.11357963 0.59185522]
D6D9 | [0.30313432 0.24750814 0.12973006 0.31962748]
D6DT | [0.02786655 0.29120956 0.0278143  0.65310959]
D6DJ | [0.18852424 0.40417222 0.19632189 0.21098165]
D6DQ | [0.07226221 0.26547329 0.13085429 0.53141022]
D6DK | [0.  0.3 0.1 0.6]
D6DA | [0.15372636 0.28132941 0.32827016 0.23667407]
D6H2 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6H3 | [0.25703416 0.22467649 0.29619991 0.22208943]
D6H4 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6H5 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6H6 | [0.08134608 0.34507738 0.32146293 0.25211361]
D6H7 | [0.14080173 0.06616244 0.06691878 0.72611705]
D6H8 | [0.19869301 0.09587214 0.11357963 0.59185522]
D6H9 | [0.30313432 0.24750814 0.12973006 0.31962748]
D6HT | [0.02786655 0.29120956 0.0278143  0.65310959]
D6HJ | [0.18852424 0.40417222 0.19632189 0.21098165]
D6HQ | [0.07226221 0.26547329 0.13085429 0.53141022]
D6HK | [0.  0.3 0.1 0.6]
D6HA | [0.15372636 0.28132941 0.32827016 0.23667407]
D6S2 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6S3 | [0.25 0.25 0.25 0.25]
D6S4 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6S5 | [0.07028986 0.03333333 0.03333333 0.86304348]
D6S6 | [0.08134608 0.34507738 0.32146293 0.25211361]
D6S7 | [0.14080173 0.06616244 0.06691878 0.72611705]
D6S8 | [0.19869301 0.09587214 0.11357963 0.59185522]
D6S9 | [0.30313432 0.24750814 0.12973006 0.31962748]
D6ST | [0.02786655 0.29120956 0.0278143  0.65310959]
D6SJ | [0.18852424 0.40417222 0.19632189 0.21098165]
D6SQ | [0.07226221 0.26547329 0.13085429 0.53141022]
D6SK | [0.25 0.25 0.25 0.25]
D6SA | [0.15372636 0.28132941 0.32827016 0.23667407]
D7D8 | [0.19907289 0.09529244 0.11405666 0.59157801]
D7D9 | [0.30315053 0.2473434  0.12987237 0.31963371]
D7DT | [0.02774442 0.29161426 0.02860712 0.65203421]
D7DJ | [0.18871646 0.40407336 0.1961457  0.21106448]
D7DQ | [0.07077682 0.28378203 0.12794741 0.51749374]
D7DK | [0.  0.3 0.1 0.6]
D7DA | [0.15370798 0.28102075 0.32856359 0.23670768]
D7H2 | [0.14080246 0.06616077 0.06691961 0.72611715]
D7H3 | [0.25766799 0.22533274 0.29564712 0.22135215]
D7H4 | [0.14080135 0.06616331 0.06691835 0.726117  ]
D7H5 | [0.14080147 0.06616303 0.06691848 0.72611702]
D7H6 | [0.14080173 0.06616244 0.06691878 0.72611705]
D7H7 | [0.06867591 0.37188573 0.31902317 0.24041519]
D7H8 | [0.19907289 0.09529244 0.11405666 0.59157801]
D7H9 | [0.30315053 0.2473434  0.12987237 0.31963371]
D7HT | [0.02774442 0.29161426 0.02860712 0.65203421]
D7HJ | [0.18871646 0.40407336 0.1961457  0.21106448]
D7HQ | [0.07077682 0.28378203 0.12794741 0.51749374]
D7HK | [0.  0.3 0.1 0.6]
D7HA | [0.15370798 0.28102075 0.32856359 0.23670768]
D7S2 | [0.14080246 0.06616077 0.06691961 0.72611715]
D7S3 | [0.25 0.25 0.25 0.25]
D7S4 | [0.14080135 0.06616331 0.06691835 0.726117  ]
D7S5 | [0.14080147 0.06616303 0.06691848 0.72611702]
D7S6 | [0.14080173 0.06616244 0.06691878 0.72611705]
D7S7 | [0.06867591 0.37188573 0.31902317 0.24041519]
D7S8 | [0.19907289 0.09529244 0.11405666 0.59157801]
D7S9 | [0.30315053 0.2473434  0.12987237 0.31963371]
D7ST | [0.02774442 0.29161426 0.02860712 0.65203421]
D7SJ | [0.18871646 0.40407336 0.1961457  0.21106448]
D7SQ | [0.07077682 0.28378203 0.12794741 0.51749374]
D7SK | [0.25 0.25 0.25 0.25]
D7SA | [0.15370798 0.28102075 0.32856359 0.23670768]
D8D9 | [0.3033964  0.24744291 0.12953572 0.31962497]
D8DT | [0.02804435 0.29223558 0.0266207  0.65309936]
D8DJ | [0.1905271  0.40429041 0.19427494 0.21090755]
D8DQ | [0.06672607 0.28933558 0.12949838 0.51443997]
D8DK | [0.  0.3 0.1 0.6]
D8DA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
D8H2 | [0.19866906 0.09459257 0.11401108 0.59272729]
D8H3 | [0.25738724 0.2257705  0.29434477 0.2224975 ]
D8H4 | [0.19870467 0.09585314 0.11357923 0.59186297]
D8H5 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
D8H6 | [0.19869301 0.09587214 0.11357963 0.59185522]
D8H7 | [0.19907289 0.09529244 0.11405666 0.59157801]
D8H8 | [0.06530688 0.38175133 0.27827012 0.27467167]
D8H9 | [0.3033964  0.24744291 0.12953572 0.31962497]
D8HT | [0.02804435 0.29223558 0.0266207  0.65309936]
D8HJ | [0.1905271  0.40429041 0.19427494 0.21090755]
D8HQ | [0.06672607 0.28933558 0.12949838 0.51443997]
D8HK | [0.  0.3 0.1 0.6]
D8HA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
D8S2 | [0.19866906 0.09459257 0.11401108 0.59272729]
D8S3 | [0.25 0.25 0.25 0.25]
D8S4 | [0.19870467 0.09585314 0.11357923 0.59186297]
D8S5 | [0.19870097 0.0958591  0.11357933 0.5918606 ]
D8S6 | [0.19869301 0.09587214 0.11357963 0.59185522]
D8S7 | [0.19907289 0.09529244 0.11405666 0.59157801]
D8S8 | [0.06530688 0.38175133 0.27827012 0.27467167]
D8S9 | [0.3033964  0.24744291 0.12953572 0.31962497]
D8ST | [0.02804435 0.29223558 0.0266207  0.65309936]
D8SJ | [0.1905271  0.40429041 0.19427494 0.21090755]
D8SQ | [0.06672607 0.28933558 0.12949838 0.51443997]
D8SK | [0.25 0.25 0.25 0.25]
D8SA | [0.1209124  0.42434805 0.24796685 0.2067727 ]
D9DT | [0.02897859 0.28443676 0.03607714 0.65050751]
D9DJ | [0.         0.45567711 0.2        0.34432289]
D9DQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
D9DK | [0.  0.3 0.1 0.6]
D9DA | [0.15638801 0.27950511 0.32639378 0.23771311]
D9H2 | [0.30285339 0.2458884  0.12973918 0.32151903]
D9H3 | [0.25756433 0.22165791 0.29904932 0.22172844]
D9H4 | [0.30345677 0.24699029 0.12989848 0.31965446]
D9H5 | [0.30346426 0.24698107 0.12990285 0.31965182]
D9H6 | [0.30313432 0.24750814 0.12973006 0.31962748]
D9H7 | [0.30315053 0.2473434  0.12987237 0.31963371]
D9H8 | [0.3033964  0.24744291 0.12953572 0.31962497]
D9H9 | [0.06156234 0.38184454 0.28732874 0.26926439]
D9HT | [0.02897859 0.28443676 0.03607714 0.65050751]
D9HJ | [0.         0.45567711 0.2        0.34432289]
D9HQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
D9HK | [0.  0.3 0.1 0.6]
D9HA | [0.15638801 0.27950511 0.32639378 0.23771311]
D9S2 | [0.30285339 0.2458884  0.12973918 0.32151903]
D9S3 | [0.25 0.25 0.25 0.25]
D9S4 | [0.30345677 0.24699029 0.12989848 0.31965446]
D9S5 | [0.30346426 0.24698107 0.12990285 0.31965182]
D9S6 | [0.30313432 0.24750814 0.12973006 0.31962748]
D9S7 | [0.30315053 0.2473434  0.12987237 0.31963371]
D9S8 | [0.3033964  0.24744291 0.12953572 0.31962497]
D9S9 | [0.06156234 0.38184454 0.28732874 0.26926439]
D9ST | [0.02897859 0.28443676 0.03607714 0.65050751]
D9SJ | [0.         0.45567711 0.2        0.34432289]
D9SQ | [0.07217752 0.28796315 0.13275143 0.5071079 ]
D9SK | [0.25 0.25 0.25 0.25]
D9SA | [0.15638801 0.27950511 0.32639378 0.23771311]
DTDJ | [0.02161145 0.24607958 0.06412531 0.66818365]
DTDQ | [0.05132881 0.21063025 0.06316129 0.67487965]
DTDK | [0.  0.5 0.3 0.2]
DTDA | [0.04746732 0.21991686 0.06303536 0.66958046]
DTH2 | [0.02777665 0.29087498 0.02791352 0.65343486]
DTH3 | [0.03894504 0.29200966 0.24020484 0.42884046]
DTH4 | [0.02786553 0.29095564 0.02806554 0.65311329]
DTH5 | [0.02786603 0.29100502 0.02801749 0.65311146]
DTH6 | [0.02786655 0.29120956 0.0278143  0.65310959]
DTH7 | [0.02774442 0.29161426 0.02860712 0.65203421]
DTH8 | [0.02804435 0.29223558 0.0266207  0.65309936]
DTH9 | [0.02897859 0.28443676 0.03607714 0.65050751]
DTHT | [0.         0.62874363 0.12741076 0.24384561]
DTHJ | [0.02161145 0.24607958 0.06412531 0.66818365]
DTHQ | [0.05132881 0.21063025 0.06316129 0.67487965]
DTHK | [0.  0.5 0.3 0.2]
DTHA | [0.04746732 0.21991686 0.06303536 0.66958046]
DTS2 | [0.02777665 0.29087498 0.02791352 0.65343486]
DTS3 | [0.25 0.25 0.25 0.25]
DTS4 | [0.02786553 0.29095564 0.02806554 0.65311329]
DTS5 | [0.02786603 0.29100502 0.02801749 0.65311146]
DTS6 | [0.02786655 0.29120956 0.0278143  0.65310959]
DTS7 | [0.02774442 0.29161426 0.02860712 0.65203421]
DTS8 | [0.02804435 0.29223558 0.0266207  0.65309936]
DTS9 | [0.02897859 0.28443676 0.03607714 0.65050751]
DTST | [0.         0.62874363 0.12741076 0.24384561]
DTSJ | [0.02161145 0.24607958 0.06412531 0.66818365]
DTSQ | [0.05132881 0.21063025 0.06316129 0.67487965]
DTSK | [0.25 0.25 0.25 0.25]
DTSA | [0.04746732 0.21991686 0.06303536 0.66958046]
DJDQ | [0.05267664 0.2699781  0.15945453 0.51789073]
DJDK | [0.  0.5 0.1 0.4]
DJDA | [0.         0.45959862 0.2        0.34040138]
DJH2 | [0.18745826 0.40540145 0.19617712 0.21096317]
DJH3 | [0.12448103 0.2972884  0.33589612 0.24233444]
DJH4 | [0.18814909 0.40478688 0.19609983 0.21096421]
DJH5 | [0.18816166 0.40476397 0.19610291 0.21097146]
DJH6 | [0.18852424 0.40417222 0.19632189 0.21098165]
DJH7 | [0.18871646 0.40407336 0.1961457  0.21106448]
DJH8 | [0.1905271  0.40429041 0.19427494 0.21090755]
DJH9 | [0.         0.45567711 0.2        0.34432289]
DJHT | [0.02161145 0.24607958 0.06412531 0.66818365]
DJHJ | [0.0455638  0.21379276 0.06780001 0.67284343]
DJHQ | [0.05267664 0.2699781  0.15945453 0.51789073]
DJHK | [0.  0.5 0.1 0.4]
DJHA | [0.         0.45959862 0.2        0.34040138]
DJS2 | [0.18745826 0.40540145 0.19617712 0.21096317]
DJS3 | [0.25 0.25 0.25 0.25]
DJS4 | [0.18814909 0.40478688 0.19609983 0.21096421]
DJS5 | [0.18816166 0.40476397 0.19610291 0.21097146]
DJS6 | [0.18852424 0.40417222 0.19632189 0.21098165]
DJS7 | [0.18871646 0.40407336 0.1961457  0.21106448]
DJS8 | [0.1905271  0.40429041 0.19427494 0.21090755]
DJS9 | [0.         0.45567711 0.2        0.34432289]
DJST | [0.02161145 0.24607958 0.06412531 0.66818365]
DJSJ | [0.0455638  0.21379276 0.06780001 0.67284343]
DJSQ | [0.05267664 0.2699781  0.15945453 0.51789073]
DJSK | [0.25 0.25 0.25 0.25]
DJSA | [0.         0.45959862 0.2        0.34040138]
DQDK | [0.  0.5 0.3 0.2]
DQDA | [0.04100531 0.2731712  0.1492547  0.53656879]
DQH2 | [0.07158114 0.26905163 0.13150212 0.52786511]
DQH3 | [0.04518847 0.21952355 0.06174075 0.67354724]
DQH4 | [0.07243909 0.26501069 0.13125345 0.53129677]
DQH5 | [0.07242123 0.26501    0.13125316 0.5313156 ]
DQH6 | [0.07226221 0.26547329 0.13085429 0.53141022]
DQH7 | [0.07077682 0.28378203 0.12794741 0.51749374]
DQH8 | [0.06672607 0.28933558 0.12949838 0.51443997]
DQH9 | [0.07217752 0.28796315 0.13275143 0.5071079 ]
DQHT | [0.05132881 0.21063025 0.06316129 0.67487965]
DQHJ | [0.05267664 0.2699781  0.15945453 0.51789073]
DQHQ | [0.         0.39390581 0.27209931 0.33399488]
DQHK | [0.  0.5 0.3 0.2]
DQHA | [0.04100531 0.2731712  0.1492547  0.53656879]
DQS2 | [0.07158114 0.26905163 0.13150212 0.52786511]
DQS3 | [0.25 0.25 0.25 0.25]
DQS4 | [0.07243909 0.26501069 0.13125345 0.53129677]
DQS5 | [0.07242123 0.26501    0.13125316 0.5313156 ]
DQS6 | [0.07226221 0.26547329 0.13085429 0.53141022]
DQS7 | [0.07077682 0.28378203 0.12794741 0.51749374]
DQS8 | [0.06672607 0.28933558 0.12949838 0.51443997]
DQS9 | [0.07217752 0.28796315 0.13275143 0.5071079 ]
DQST | [0.05132881 0.21063025 0.06316129 0.67487965]
DQSJ | [0.05267664 0.2699781  0.15945453 0.51789073]
DQSQ | [0.         0.39390581 0.27209931 0.33399488]
DQSK | [0.25 0.25 0.25 0.25]
DQSA | [0.04100531 0.2731712  0.1492547  0.53656879]
DKDA | [0.  0.5 0.1 0.4]
DKH2 | [0.  0.3 0.1 0.6]
DKH3 | [0.         0.56516468 0.2        0.23483532]
DKH4 | [0.  0.3 0.1 0.6]
DKH5 | [0.  0.3 0.1 0.6]
DKH6 | [0.  0.3 0.1 0.6]
DKH7 | [0.  0.3 0.1 0.6]
DKH8 | [0.  0.3 0.1 0.6]
DKH9 | [0.  0.3 0.1 0.6]
DKHT | [0.  0.5 0.3 0.2]
DKHJ | [0.  0.5 0.1 0.4]
